"Target","Incoming","Live","Completed","Ended","Connected","Paid","Converted","No Connect","Duplicate","Blocked","IVR Hangup","RPC","Revenue","Payout","Profit","Margin","Conversion %","TCL","ACL","Total Cost"
"NMSIG Overflow - Medicare (English) - RTT","21","0","21","21","21","17","17","0","14","0","0","8.772190476190477","184.216","183.446","0.77","0.42%","80.95%","03:33:47","00:10:10","7.84"
"MyHealthAngel - Medicare (English) - 2 - RTB","20","0","20","20","20","3","3","0","12","0","0","3.255","65.10","65.10","0.00","0.00%","15.00%","01:08:11","00:03:24","2.625"
"Connie Health RTT - Medicare (English) - RTT","18","0","18","18","18","4","4","0","10","0","0","9.041666666666666","162.75","162.75","0.00","0.00%","22.22%","00:47:41","00:02:38","2.03"
"Broad Base - Medicare (English) - RTB - 2 - CA ONLY","15","0","15","15","15","7","7","0","8","0","0","8.106666666666666","121.60","121.60","0.00","0.00%","46.67%","00:43:57","00:02:55","1.785"
"Broad Base - Medicare (English) - RTB - 2 - T3","14","0","14","14","14","6","6","0","11","0","0","7.885714285714285","110.40","108.56","1.84","1.67%","42.86%","02:28:00","00:10:34","5.425"
"Sabal Media Group  - Medicare (English) Inbounds - 2","13","0","13","13","13","3","3","0","9","0","0","8.076923076923077","105.00","105.00","0.00","0.00%","23.08%","00:23:56","00:01:50","0.98"
"EOS - Medicare (English)","11","0","11","11","11","10","10","0","9","0","0","22.727272727272727","250.00","250.00","0.00","0.00%","90.91%","00:52:01","00:04:43","1.995"
"EOS AII 50 - Medicare (English)","11","0","11","11","11","10","10","0","8","0","0","22.727272727272727","250.00","245.00","5.00","2.00%","90.91%","01:36:29","00:08:46","3.535"
"IDG - Medicare (English) - RTB - T2","11","0","11","11","11","3","3","0","7","0","0","8.727272727272727","96.00","96.00","0.00","0.00%","27.27%","00:20:18","00:01:50","0.875"
"IDG - Medicare (English) - RTB - T1","6","0","6","6","6","2","2","0","4","0","0","10.666666666666666","64.00","64.00","0.00","0.00%","33.33%","00:16:13","00:02:42","0.63"
"Broad Base - Medicare (English) - RTB","5","0","5","5","5","5","5","0","4","0","0","32","160.00","160.00","0.00","0.00%","100.00%","00:50:01","00:10:00","1.855"
"Kwan Clicks (Aware Ads) - Medicare (English) - 1 -RTB - CA ONLY","5","0","5","5","5","4","4","0","2","0","0","18.4","92.00","92.00","0.00","0.00%","80.00%","01:42:48","00:20:33","3.71"
"Leader Calls Group - Medicare (English) - RTB","5","0","5","5","5","0","0","0","4","0","0","0","0.00","0.00","0.00","0.00%","0.00%","00:08:22","00:01:40","0.385"
"HLG RTB-1 - Allstate - Medicare (English)","3","0","3","3","3","1","1","0","1","0","0","2.1866666666666665","6.56","6.56","0.00","0.00%","33.33%","00:05:51","00:01:57","0.245"
"IDG - Medicare (English) - RTB - T3","3","0","3","3","3","1","1","0","3","0","0","10.666666666666666","32.00","32.00","0.00","0.00%","33.33%","00:07:05","00:02:21","0.315"
"Liz-KHS - Medicare (English)","3","1","2","2","3","0","0","0","2","0","0","0","0.00","0.00","0.00","0.00%","0.00%","00:05:06","00:02:33","0.245"
"PX  - Medicare (English) - RTT - CA ONLY","3","0","3","3","3","3","3","0","0","0","0","30.75","92.25","92.25","0.00","0.00%","100.00%","00:04:42","00:01:34","0.21"
"AllCalls - Medicare (English) - RTT","2","0","2","2","2","2","2","0","1","0","0","20","40.00","40.00","0.00","0.00%","100.00%","00:45:53","00:22:56","1.645"
"Broad Base - Medicare (English) - RTB - 2 - T1","2","0","2","2","2","1","1","0","1","0","0","9.2","18.40","18.40","0.00","0.00%","50.00%","00:11:26","00:05:43","0.42"
"Connie Health RTT - Medicare (English) - RTT - CA ONLY","2","0","2","2","2","0","0","0","2","0","0","0","0.00","0.00","0.00","0.00%","0.00%","00:02:43","00:01:21","0.14"
"IDG Overflow - Medicare (English) - RTB","2","0","2","2","2","0","0","0","1","0","0","0","0.00","0.00","0.00","0.00%","0.00%","00:01:37","00:00:48","0.07"
"UGP Overflow old line - Medicare (Spanish) - RTT","2","0","2","2","2","2","2","0","1","0","0","15","30.00","27.00","3.00","10.00%","100.00%","00:05:55","00:02:57","0.245"
"Arroyo - Medicare (English) - RTT","1","0","1","1","1","1","1","0","1","0","0","20.25","20.25","20.25","0.00","0.00%","100.00%","00:04:51","00:04:51","0.175"
"Broad Base - Medicare (English) - RTB - 2 - T2","1","0","1","1","1","0","0","0","1","0","0","0","0.00","0.00","0.00","0.00%","0.00%","00:01:46","00:01:46","0.07"
"Express Revenue - Medicare (English) - RTB","1","0","1","1","1","1","1","0","1","0","0","40","40.00","40.00","0.00","0.00%","100.00%","00:07:06","00:07:06","0.28"
"HLG RTB-1 - Medicare (English) - CA ONLY","1","0","1","1","1","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00%","0.00%","00:00:25","00:00:25","0.035"
"QLG - ACA (English) - RTB - SD","1","0","1","1","1","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00%","0.00%","00:00:33","00:00:33","0.035"
"Rank - Medicare (English) - RTB - CA Only","1","0","1","1","1","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00%","0.00%","00:00:41","00:00:41","0.035"
"","3582","7","2529","2665","2405","1506","1506","1177","1696","136","910","12.976386529080674","34582.0701","34494.6671","87.403","0.25%","42.04%","520:30:17","00:09:04","1162.28"
